genome,M302682,M302681,M302706,M302676,M302708,M302692,M302703,M302717,M302680,M302721,M302696,M302718,M302711,M302710,M302691,M302684,M302679,M302702,M302678,M302715,M302693,M302704,M302675,M302690,M302687,M302716,M302700,M302683,M302701,M302688,M302698,M302689,M302695,M302707,M302714,M302677,M302720,M302705,M302712,M302709,M302697,M302686
D300418:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300418:bin_000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300428:bin_000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300430:bin_000010,2.178,0,1.861,0,2.338,1.581,2.166,0,0,4.654,0,2.311,0,0,3.286,0,1.687,0,0,2.142,4.42,1.873,1.781,2.582,2.962,0,2.089,1.099,1.568,0,5.147,2.039,3.157,2.588,2.092,3.831,2.555,0,0,1.356,4.614,0
D300432:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300435:bin_000001,7.733,4.348,9.438,3.798,7.462,5.603,6.565,7.116,2.317,17.367,3.451,6.991,5.103,7.158,8.341,3.489,6.968,0,4.319,7.225,7.326,7.621,7.262,9.165,8.186,5.793,7.837,2.906,6.046,6.088,14.964,6.748,9.459,7.737,6.315,11.496,8.822,4.835,5.607,4.609,9.706,3.229
D300442:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300442:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300443:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300443:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300444:bin_000010,16.298,10.017,18.438,10.38,18.186,13.576,15.559,17.27,6.359,37.595,7.152,14.078,11.359,17.3,20.623,7.362,14.097,0,9.029,15.421,18.091,14.534,14.874,20.416,15.42,11.799,17.785,7.08,15.583,14.712,33.748,14.585,20.735,18.93,16.382,29.358,19.573,10.562,11.973,12.544,22.51,6.571
D300452:bin_000016,39.399,23.223,48.506,22.814,40.108,31.587,39.08,36.245,15.687,83.377,19.184,34.838,30.935,39.084,50.922,17.158,31.957,0,22.346,34.563,46.118,38.062,37.948,50.167,39.737,29.877,37.207,19.289,36.251,31.451,70.454,35.237,53.198,46.034,31.786,69.386,45.696,23.711,30.795,27.943,56.165,16.852
D300458:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300462:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300472:bin_000003,4.077,2.894,5.057,2.847,5.017,3.208,3.936,4.81,1.705,10.612,2.098,4.324,3.014,6.713,6.575,2.504,3.528,0,3.211,2.829,5.247,5.071,4.385,6.578,3.62,3.235,4.123,3.461,4.371,4.22,10.041,4.365,5.576,4.515,4.293,7.947,4.936,2.589,3.212,3.625,6.459,1.912
D300474:bin_000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300475:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300479:bin_000001,1.835,1.199,3.69,3.945,1.831,1.413,1.684,1.476,1.162,4.788,1.405,5.611,2.95,1.405,2.911,1.791,1.085,0,1.89,2.623,3.179,1.784,1.193,1.598,1.501,2.868,2.492,1.077,2.954,3.746,4.421,2.472,3.02,2.46,4.137,5.042,3.425,1.697,3.021,1.284,3.837,1.38
D300479:bin_000005,4.153,3.228,7.437,2.97,6.241,4.396,5.798,4.559,1.491,10.17,2.436,3.851,3.609,6.092,6.382,2.49,4.892,0,3.162,3.153,6.169,4.735,4.146,6.467,4.755,3.864,5.942,2.397,5.156,4.293,10.437,4.79,6.1,4.991,4.613,9.566,7.243,3.456,5.155,3.282,6.738,1.923
D300481:bin_000002,9.363,4.26,8.911,7.956,8.799,6.376,8.337,7.153,3.524,19.836,4.303,10.73,6.472,8.374,11.247,4.79,6.642,0,4.67,7.002,10.407,10.43,9.8,11.509,7.821,9.014,9.165,4.825,9.195,7.285,17.877,7.391,12.954,12.949,8.598,15.054,12.763,5.484,6.015,5.682,13.105,4.758
D300482:bin_000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300491:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300492:bin_000003,116.414,72.436,123.444,74.244,129.99,96.869,117.892,120.915,51.2,275.196,53.052,112.064,89.659,108.165,149.184,54.589,101.256,0,71.936,103.605,135.83,106.386,118.412,146.018,121.08,100.374,115.107,58.983,117.552,99.037,222.89,101.804,166.771,145.066,89.945,212.328,130.282,76.821,92.172,79.163,164.817,48.465
D300493:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300499:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
