genome,M302029,M302047,M302011,M302049,M302014,M302012,M302008,M302038,M302045,M302044,M302003,M302046,M302004,M302017,M302041,M302048,M302019,M302030,M302039,M302024,M302026,M302032,M302020,M302005,M302035,M302015,M302042,M302037,M302016,M302006,M302034,M302036,M302010,M302023,M302009,M302025,M302027,M302033,M302018,M302021,M302028,M302007
D300418:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300418:bin_000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300428:bin_000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300430:bin_000010,1.645,5.474,3.671,3.892,2.499,0,5.094,6.357,2.775,2.656,2.367,2.886,3.08,2.702,3.907,5.1,0,1.915,1.85,1.148,2.067,1.95,3.076,4.12,3.421,3.503,4.223,0,4.095,0,2.402,1.753,0,0,0,1.867,2.884,3.496,1.543,1.88,2.615,0
D300432:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300435:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300442:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300442:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300443:bin_000002,7.349,6.924,2.869,7.793,4.183,1.165,4.597,7.649,7.401,3.629,2.863,5.325,4.889,3.222,5.867,7.909,0,3.321,3.601,1.34,3.011,3.882,2.997,6.358,6.447,3.653,6.508,0,5.075,0,3.006,2.665,0,0,2.481,4.902,6.983,4.14,1.761,1.397,1.995,0
D300443:bin_000003,4.976,12.691,7.377,8.237,6.95,4.669,13.951,9.706,9.325,7.04,4.71,11.393,6.386,6.949,10.973,10.393,0,4.728,6.42,2.802,6.45,5.671,7.923,12.821,9.675,9.062,5.569,0,8.861,2.736,7.306,5.463,0,0,2.776,8.517,7.12,8.655,3.142,7.292,4.734,0
D300444:bin_000010,1.412,4.133,2.342,4.708,2.91,2.175,3.306,5.341,4.221,3.472,1.516,3.19,2.369,2.497,3.493,6.42,0,2.509,2.472,0.698,2.333,2.83,2.872,4.024,4.11,1.94,3.625,0,3.627,0,3.248,2.14,0,0,0.94,2.663,2.565,3.623,1.139,1.993,1.63,0
D300452:bin_000016,5.647,16.151,9.398,14.65,8.191,6.3,17.146,19.225,13.703,10.568,6.061,13.441,9.061,9.336,15.266,16.32,0,7.988,8.021,4.319,7.412,8.344,10.374,18.982,13.661,10.349,12.445,0,10.195,2.104,11.026,7.524,0,0,3.922,9.789,10.545,13.054,4.615,9.965,6.551,0
D300458:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300462:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300472:bin_000003,1.452,4.617,2.061,2.951,1.888,1.326,3.696,3.421,2.592,2.04,1.485,3.115,2.183,2.04,2.796,4.543,0,2.028,2.176,0.755,1.31,1.935,2.418,3.976,3.546,3.206,2.064,0,3.024,1.106,2.585,1.548,0,0,0.857,1.73,2.643,1.687,1.032,2.549,1.286,0
D300474:bin_000012,9.364,27.087,3.341,39.27,8.306,16.124,22.015,17.175,12.568,18.703,7.44,12.032,16.003,2.64,13.828,32.626,0,5.143,6.559,13.282,12.9,23.268,4.78,30.681,15.582,5.904,15.578,0,13.583,3.029,10.287,7.053,0,0,1.241,7.535,8.217,5.404,4.391,5.57,8.159,0
D300475:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300479:bin_000001,3.041,4.314,0,4.696,5.476,0,0,5.662,1.591,5.235,1.697,1.482,1.796,2.101,2.436,5.615,0,1.343,2.16,0.948,1.003,2.349,0,4.626,8.245,5.705,3.328,0,10.605,0,1.915,1.2,0,0,2.172,0,3.335,1.789,1.403,0.91,1.539,0
D300479:bin_000005,0,0.899,0,0,0.723,0,0.808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987,0,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300481:bin_000002,3.319,19.015,6.02,8.977,5.631,1.785,10.409,8.016,6.363,4.057,3.97,6.141,4.257,6.903,6.152,11.481,0,6.337,5.22,1.907,4.772,4.322,7.514,6.419,9.285,4.289,7.184,0,7.46,0.854,6.684,4.023,0,0,3.287,4.689,5.2,5.698,3.285,4.74,3.671,0
D300482:bin_000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300491:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300492:bin_000003,9.138,42.271,20.282,38.015,26.639,9.371,30.905,50.364,33.164,26.209,19.085,45.35,24.42,23.943,44.607,53.564,0,17.32,19.509,11.229,16.077,21.105,22.842,37.688,28.648,25.862,36.232,0,35.823,3.916,27.662,18.098,0,0,6.63,23.448,28.129,34.751,14.009,19.841,13.901,0
D300493:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300499:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
