genome,M305727,M305800,M305717,M305830,M305813,M305745,M305810,M305827,M305702,M305733,M305808,M305742,M305714,M305801,M305831,M305743,M305811,M305819,M305736,M305716,M305799,M305719,M305709,M305814,M305824,M305842,M305749,M305721,M305825,M305836,M305843,M305718,M305845,M305704,M305726,M305738,M305708,M305823,M305820,M305833,M305821,M305706,M305725,M305806,M305807,M305826,M305724,M305828,M305715,M305817,M305840,M305734,M305802,M305744,M305834,M305729,M305731,M305711,M305832,M305722,M305798,M305707,M305841,M305732,M305812,M305837,M305829,M305712,M305818,M305815,M305747,M305740,M305739,M305805,M305705,M305720,M305741,M305728,M305803,M305735,M305746,M305844,M305838,M305710
D300627:bin_000003,0,7.635,0,3.966,4.472,8.319,0,0,0,0,1.296,2.559,0,0,5.468,2.613,2.199,0,0,8.39,5.34,8.716,7.093,3.961,2.968,0,0,0,2.611,0,3.226,0,2.458,6.985,4.767,5.123,5.843,0,5.553,9.318,3.373,0,4.039,2.535,7.148,9.596,3.979,7.287,9.289,3.306,0,5.811,1.99,0,0,7.124,4.812,0,3.387,0,3.824,4.797,0,0,3.735,0,5.497,0,5.808,2.082,6.408,11.325,0,6.112,0,0,0,7.774,17.139,0,2.527,2.086,0,0
D300627:bin_000012,0,15.539,0,3.003,7.929,18.997,0,1.803,0,0,2.462,10.041,0,0,4.217,5.728,3.923,0,0,7.881,11.143,7.344,26.763,6.079,2.454,0,2.998,0,3.693,0,5.834,0,3.219,11.58,6.059,6.407,5.728,0,6.231,13.924,4.079,0,3.065,2.404,7.954,9.212,3.826,11.818,10.5,2.679,0,15.759,1.59,5.657,0,9.502,7.069,0,2.383,3.479,7.662,13.315,0,0,8.458,0,11.557,0,5.283,1.347,11.227,9.664,0,7.027,2.61,2.965,0,9.078,23.958,3.705,4.159,6.571,0,0
D300628:bin_000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300629:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300630:bin_000014,4.041,44.7,0,15.486,22.385,53.146,4.678,7.982,0,0,5.978,22.606,0,1.328,22.836,15.677,9.921,1.771,8.535,39.444,34.358,53.33,35.251,20.47,8.576,3.052,6.154,5.059,13.465,1.882,24.487,0,17.339,53.464,20.875,35.202,38.799,3.092,23.133,70.711,16.456,0,24.892,13.579,52.478,52.548,19.553,32.723,65.94,11.963,3.298,22.485,7.193,16.651,2.162,31.43,20.417,0,14.227,8.081,35.705,27.916,0,0,25.136,3.601,44.129,4.347,48.927,11.135,52.996,57.373,2.24,35.823,14.418,13.036,3.615,37.013,88.124,7.333,12.934,14.986,3.95,0
D300631:bin_000002,0,46.525,0,4.008,15.728,19.001,0.998,2.354,0,0,2.811,7.052,0,0,8.631,5.766,2.257,0,9.122,12.797,18.137,21.456,28.575,12.245,4.002,2.496,4.355,2.855,5.806,0,7.984,0,11.305,12.581,3.894,7.216,23.885,46.471,8.19,26.2,8.891,0,7.237,4.184,18.423,12.784,2.375,49.499,18.555,43.854,0,14.861,5.852,9.581,1.39,5.991,8.844,0,9.591,5.913,12.749,10.763,0,0,6.266,2.413,26.034,0,8.406,5.098,18.102,18.257,0,9.849,4.181,6.296,0,6.271,33.502,4.827,14.017,8.013,1.393,0
D300631:bin_000019,0,0,0,2.231,1.841,3.138,0,0,0,0,0,0,0,0,4.358,0,1.769,0,0,2.873,0,3.283,5.431,0,1.386,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083,2.433,0,0,2.392,0,0,2.167,0,4.073,0,0,0,3.251,0,3.481,0,2.386,3.575,0,0,0,2.241,0,0,0,0,0,2.352,0,0,0,3.735,0,0,2.35,0,0,0,2.896,2.388,0,0,2.257,0,0
D300632:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300632:bin_000015,0,3.347,0,4.619,3.716,8.836,1.27,4.523,0,0,0,2.483,0,0,16.51,3.871,4.269,0,3.496,4.464,1.492,4.032,13.597,2.602,2.903,0,2.697,0,3.028,0,3.392,0,2.008,4.435,3.294,2.639,1.754,0,3.411,6.162,2.254,0,7.642,0,0,6.291,3.897,5.095,3.595,3.778,0,8.171,0,8.728,0,5.239,8.669,0,1.197,0,7.947,3.853,0,0,1.407,0,4.597,0,5.157,0,7.831,4.232,0,5.561,2.531,2.253,0,7.336,4.445,2.873,4.353,2.854,0,0
D300633:bin_000005,7.996,22.552,0,7.466,10.507,13.135,1.643,8.43,0,0,5.096,7.948,0,0,17.403,3.862,5.91,0,4.899,16.812,3.93,21.633,61.778,7.133,7.328,0,5.804,0,6.91,1.291,13.902,0,11.131,17.338,6.129,12.897,3.407,0,27.485,13.853,3.985,0,18.838,2.798,2.251,27.342,8.912,10.849,6.469,7.733,0,15.005,1.826,14.414,0,12.106,27.763,0,4.588,11.802,13.354,12.651,0,0,7.292,1.428,13.822,3.018,10.897,4.322,19.427,8.33,1.869,13.843,8.975,9.726,0,11.416,12.763,6.038,8.047,8.703,2.458,0
