genome,M305603,M305571,M305560,M305685,M305567,M305698,M305655,M305674,M305688,M305592,M305578,M305691,M305577,M305658,M305558,M305676,M305580,M305669,M305694,M305589,M305692,M305602,M305693,M305682,M305677,M305656,M305664,M305569,M305594,M305666,M305667,M305675,M305572,M305700,M305662,M305684,M305565,M305583,M305559,M305701,M305588,M305585,M305680,M305687,M305663,M305604,M305686,M305566,M305670,M305562,M305595,M305561,M305659,M305600,M305599,M305573,M305593,M305579,M305596,M305654,M305689,M305598,M305697,M305590,M305587,M305582,M305665,M305696,M305568,M305681,M305678,M305673,M305575,M305574,M305586,M305564,M305660,M305683,M305699,M305671,M305576,M305605,M305657,M305597
D300627:bin_000003,11.676,0,0,0,2.402,6.392,20.021,0,0,2.497,2.188,0,0,8.066,0,2.24,0,3.498,6.73,1.083,5.333,1.06,2.948,0,0,9.527,3.656,0,6.708,0,2.994,12.536,3.403,6.81,4.556,0,4.004,4.534,0,9.952,3.423,5.134,0,6.551,3.074,5.743,0,0,0,0,5.592,0,4.543,3.554,1.756,7.744,2.281,1.199,2.67,22.988,0,0,18.397,1.445,2.539,7.482,4.997,33.87,0,0,3.852,0,0,4.879,0,0,9.836,2.337,11.463,4.077,0,10.107,0,5.061
D300627:bin_000012,4.78,0,0,0,0,0,4.449,0,0,0,0,0,0,2.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.912,0,0,4.496,0,0,0,0,0,0,0,4.015,0,1.307,0,2.613,0,1.636,0,0,0,0,0,0,0,0,0,2.07,0,0,0,8.08,0,0,4.818,0,0,3.199,0,9.737,0,0,0,0,0,1.288,0,0,2.747,0,2.943,0,0,3.928,0,1.348
D300628:bin_000004,18.429,1.109,0,0,1.821,8.73,28.65,0,0,3.483,2.757,0,0,10.813,1.418,3.094,0,2.275,8.459,1.538,6.015,2.146,2.109,2.346,0,10.554,5.647,0,7.709,0,2.755,13.453,5.904,6.36,5.665,0,5.943,5.162,0.854,12.95,2.938,6.393,0,6.049,2.778,7.392,0,2.049,2.996,0,5.91,0,6.102,5.685,1.332,8.252,3.72,1.981,4.577,40.85,0,0,21.046,2.257,2.547,13.548,3.046,35.129,1.82,0,3.613,0,0,5.762,0,1.863,8.28,2.623,10.131,3.479,1.423,14.179,0,6.403
D300629:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300630:bin_000014,89.001,9.913,2.039,17.037,18.938,44.591,130.054,0,0,18.422,16.896,0,3.167,54.39,6.62,17.078,0,15.93,51.824,7.431,38.937,8.759,18.161,19.012,0,74.308,20.561,0,43.655,0,16.498,95.191,25.23,45.556,51.469,14.458,33.674,28.958,4.407,88.714,28.584,33.778,4.011,73.45,19.983,45.18,4.123,10.943,14.71,1.704,42.411,5.645,35.133,29.25,17.127,73.633,16.617,8.902,20,186.724,0,3.146,133.027,10.134,24.434,57.579,18.6,207.529,8.901,0,32.261,0,3.661,38.07,3.329,9.188,55.541,18.103,78.575,21.953,4.296,65.862,14.176,38.946
D300631:bin_000002,22.262,2.401,1.288,2.744,3.128,10.747,31.213,0,0,3.923,5.731,0,0,19.982,2.781,6.758,0,11.441,15.55,2.359,8.553,1.714,8.447,6.928,0,5.287,7.56,0,17.104,0,7.011,38.257,6.828,18.4,11.148,4.226,8.057,6.647,1.725,21.807,7.934,6.75,2.211,5.854,9.379,5.839,0,2.166,10.418,1.361,6.889,1.304,9.688,6.877,1.593,10.021,4.512,4.629,2.88,53.265,0,0,39.242,3.192,5.753,12.944,10.715,66.564,2.576,0,11.463,0,1.128,7.543,2.148,3.017,24.375,5.658,21.95,8.067,2.934,13.846,3.634,11.297
D300631:bin_000019,4.038,0,0,0,0,2.251,9.272,0,0,0,0,0,0,3.731,0,2.295,0,0,2.187,0,5.712,0,1.994,0,0,4.392,0,0,2.101,0,0,7.407,1.926,2.447,1.979,0,1.866,2.002,0,4.591,1.642,1.975,0,2.876,0,2.26,0,0,2.61,0,1.811,0,3.512,1.781,0,3.049,0.982,0,1.417,11.03,0,0,6.266,0,1.537,3.417,0,7.627,0,0,2.486,0,0,1.624,0,0,5.403,0,5.272,2.169,0,3.92,0,2.587
D300632:bin_000002,2.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.003,0,0,0,0,0,0,1.857,0,0,0,0,0,0,0,0,0,0,0,0,0,2.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.673,0,0,2.775,0,0,1.008,0,5.265,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0
D300632:bin_000015,11.692,1.785,0,2.855,2.501,5.982,23.805,0,0,2.565,2.735,0,0,9.959,1.372,5.152,0,0,5.839,1.352,10.273,1.262,6.359,3.747,0,11.443,4.766,0,6.077,0,7.743,26.141,6.105,7.071,3.978,2.622,5.711,4.211,1.661,15.697,4.782,5.158,0,5.508,3.116,5.611,0,1.29,3.165,0,7.413,1.043,7.759,5.396,1.56,17.169,2.706,2.015,4.985,26.684,0,0,18.491,1.696,5.063,10.635,1.967,30.079,2.6,0,5.164,0,0,5.136,0,2.233,11.219,3.79,12.356,6.407,1.306,11.903,2.064,5.392
D300633:bin_000005,35.305,3.584,1.758,2.592,3.808,10.663,34.123,0,0,4.842,5.071,0,0.996,20.71,2.688,9.562,0,2.374,13.663,2.529,10.4,2.491,11.785,5.594,0,21.184,4.408,0,13.652,0,6.394,40.389,13.84,6.913,9.251,5.078,13.008,14.172,2.64,23.112,7.373,10.55,1.98,10.29,9.124,20.348,2.933,5.948,8.81,1.468,6.923,2.351,10.482,9.169,3.862,10.925,10.482,5.265,7.152,63.943,0,1.287,34.267,3.7,7.937,24.668,6.322,50.451,7.202,0,8.997,0,1.479,18.228,0,6.417,14.28,6.343,14.66,15.653,3.378,27.29,4.097,10.812
